timestamp_s,robot0_x_in,robot0_y_in,robot0_heading_rad,robot0_visible,robot1_x_in,robot1_y_in,robot1_heading_rad,robot1_visible,robot2_x_in,robot2_y_in,robot2_heading_rad,robot2_visible,robot3_x_in,robot3_y_in,robot3_heading_rad,robot3_visible
0.0000,17.53,9.33,0.0000,1,58.53,121.50,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,0.0000,1
0.0333,17.53,9.33,0.0000,1,58.53,121.50,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,0.0000,1
0.0667,17.53,9.33,0.0000,1,58.53,121.50,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,0.0000,1
0.1000,17.53,9.33,0.0000,1,58.53,121.50,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,0.0000,1
0.1333,17.73,9.55,0.0000,1,58.51,121.31,0.0000,1,88.07,132.13,0.0000,1,128.68,12.69,0.0000,1
0.1667,17.73,9.55,0.0000,1,58.50,121.38,0.0000,1,88.07,132.13,0.0000,1,128.92,12.18,-1.3279,1
0.2000,17.73,9.55,0.0000,1,58.49,121.37,0.0000,1,88.07,132.13,0.0000,1,128.84,12.16,-1.3279,1
0.2333,17.73,9.55,0.0000,1,58.48,121.37,0.0000,1,88.06,132.13,0.0000,1,128.68,12.69,-1.3279,1
0.2667,17.50,9.33,0.0000,1,58.52,121.40,0.0000,1,88.06,132.12,0.0000,1,130.18,12.13,-0.2591,1
0.3000,17.50,9.33,0.0000,1,58.53,121.41,0.0000,1,88.06,132.12,0.0000,1,130.18,12.13,-0.2591,1
0.3333,17.50,9.33,0.0000,1,58.53,121.39,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,2.6097,1
0.3667,17.45,9.17,0.0000,1,58.54,121.48,0.0000,1,88.07,132.12,0.0000,1,128.90,12.79,2.6097,1
0.4000,17.50,9.33,0.0000,1,58.49,121.45,0.0000,1,88.07,132.12,0.0000,1,128.93,12.80,2.6097,1
0.4333,17.50,9.33,0.0000,1,58.52,121.40,0.0000,1,88.06,132.12,0.0000,1,128.98,12.74,2.6097,1
0.4667,17.57,9.30,0.0000,1,58.56,121.37,0.0000,1,88.06,132.12,0.0000,1,128.98,12.74,2.6097,1
0.5000,17.80,9.51,0.0000,1,58.49,121.37,0.0000,1,88.07,132.13,0.0000,1,128.78,12.71,2.6097,1
